merchant_name,category,random_products,merchant_description
"Corica, Biliton",Roti/Jajanan/Kopi,"['Chocolate Absolute Slice', 'Nastar Cake', 'Blueberry Strudel Whole,', 'Fruit Strusel Pie', 'Durian Strudel Half']","Corica, Biliton, adalah toko yang menawarkan berbagai macam roti, jajanan, dan kopi dengan kualitas terbaik. Setiap produk dirancang untuk memanjakan lidah Anda, mulai dari kue lezat seperti Chocolate Absolute Slice hingga kue khas seperti Nastar Cake. Dengan pilihan seperti Blueberry Strudel Whole dan Fruit Strusel Pie, setiap kunjungan ke Corica akan menjadi pengalaman yang memuaskan."
"Cosmic Coffee, Tulangan",Kopi/Cepat saji,"['Cafelatte Ice', 'Strawberry Squash', 'Chicken wings BBQ', 'Americano ice', 'Jus Jambu']","Cosmic Coffee di Tulangan adalah tempat yang sempurna bagi pecinta kopi dan makanan cepat saji. Dengan beragam pilihan minuman segar seperti Cafelatte Ice dan Strawberry Squash, serta hidangan lezat seperti Chicken Wings BBQ dan Jus Jambu, kami siap memanjakan selera Anda. Nikmati pengalaman santai sambil menikmati sajian kualitas terbaik di setiap kunjungan."
Creme Croffle,Roti/Jajanan/Jepang,"['Croffle Ice Cream', 'Dua Croflle Plus 1 Topping', 'Dua Croffle Special Butter', 'Vanilla Smooth Creme', 'Croffle Vanilla Creme']","Creme Croffle adalah tempat sempurna bagi para pecinta jajanan Jepang yang ingin mencoba kombinasi unik antara croissant dan waffle. Dengan berbagai pilihan, seperti Croffle Ice Cream dan dua varian croffle spesial, setiap kunjungan akan memanjakan lidah Anda dengan cita rasa yang menggugah selera. Nikmati juga kelezatan krim vanilla dalam produk kami yang siap memanjakan Anda kapan saja."
"D'BestO, Wonokusumo",Ayam & bebek/Minuman/Jajanan/Barat,"['Sadas Paha Bawah', 'Combo 2', 'Sadas Sayap', 'Burger Premium', 'Markicob 5']","D'BestO di Wonokusumo adalah destinasi tepat untuk pecinta ayam, bebek, dan jajanan yang menyajikan ragam pilihan lezat serta minuman menyegarkan. Dengan menu seperti Sadas Paha Bawah, Combo 2, dan Burger Premium, setiap hidangan diracik dengan cita rasa yang menggugah selera. Nikmati juga jajanan khas yang siap memanjakan lidah Anda di setiap kunjungan."
DEPOT XIWANG,Aneka nasi/Bakmie/Chinese,"['Burung Dara Goreng', 'Bihun Goreng Seafood', 'Sup Asparagus / Jagung Ayam', 'Baikut Sayur Asin Kuah', 'Fuyunghai Udang']","DEPOT XIWANG menawarkan aneka hidangan nasi dan bakmie dengan sentuhan cita rasa China yang autentik. Dikenal dengan kelezatan menu seperti Burung Dara Goreng dan Bihun Goreng Seafood, kami siap memanjakan lidah Anda dengan racikan unik dan bumbu yang kaya. Nikmati juga sup hangat seperti Sup Asparagus/Jagung Ayam untuk melengkapi pengalaman bersantap Anda."
"Dailybox, Kutisari",Aneka nasi/Ayam & bebek/Seafood,"['Better Duo 1', ""Se'i Sapi"", 'Lidah Sambal Ijo', 'Roti Sisir Coklat', 'Cheese Bite']","Dailybox, Kutisari adalah pilihan tepat untuk Anda yang menyukai aneka nasi, ayam, bebek, dan seafood. Dengan variasi menu yang menggugah selera, seperti Se'i Sapi dan Lidah Sambal Ijo, setiap hidangan disiapkan dengan cita rasa yang otentik dan bahan berkualitas. Nikmati juga camilan lezat seperti Roti Sisir Coklat dan Cheese Bite untuk melengkapi pengalaman kuliner Anda."
"Dapur 99, Sedati",Bakmie/Chinese/Aneka nasi,"['Nasi Goreng Seafood', 'Nasi Goreng Sosis', 'Freestea 500ml APPLE', 'Bakmi Capcay Gr', 'Cumi Cumi Asam Manis']","Dapur 99 di Sedati menyajikan hidangan Bakmie dan Chinese yang menggugah selera, serta aneka nasi yang kaya rasa. Dengan pilihan seperti Nasi Goreng Seafood yang lezat dan Bakmi Capcay yang penuh warna, setiap suapan memanjakan lidah Anda. Jangan lupa mencoba minuman segar Freestea 500ml APPLE untuk melengkapi pengalaman kuliner Anda di sini."
Dapur Mama Ketrin,Bakmie/Aneka nasi,"['Es Nutrisari Jeruk', 'Es Good Day Freeze', 'Bakmie Goreng', 'Nasi Goreng 12', 'Es Joshua']","Dapur Mama Ketrin adalah toko yang menawarkan berbagai hidangan lezat, termasuk bakmie dan aneka nasi yang menggugah selera. Dengan fokus pada kualitas dan citarasa, Anda dapat menikmati pilihan seperti Bakmie Goreng yang menggoda, Nasi Goreng 12 yang khas, serta berbagai minuman segar seperti Es Nutrisari Jeruk dan Es Good Day Freeze. Setiap hidangan disiapkan dengan cinta dan perhatian agar memberikan pengalaman makan yang memuaskan."
Dapur Pancali,Kopi/Minuman,"['Kentang Goreng (Pancali)', 'Gorengan (Pancal)', 'Es Nutrisari', 'Tahu Kripsy (Pancal)', 'Nasi Telor Geprek (Pancal)']","Dapur Pancali adalah toko yang menawarkan berbagai pilihan minuman kopi segar dan makanan lezat yang cocok untuk menemani waktu santai Anda. Dengan menu unik seperti Kentang Goreng (Pancali) dan Tahu Kripis (Pancal), Dapur Pancali siap memanjakan lidah Anda dengan cita rasa yang menggugah selera. Nikmati juga berbagai pilihan minuman segar seperti Es Nutrisari untuk melengkapi pengalaman bersantai Anda."
"Dear Butter, Sidoarjo",Sweets,"['9Pcs Croffle + Iced Americano', '9Pcs Croffle + Iced Pandan Latte', 'Almond Maple', '9 Pcs Croffle Pandan', 'ICE AMERICANO']","Dear Butter di Sidoarjo adalah destinasi manis bagi para pecinta makanan penutup. Dengan fokus pada kategori Sweets, kami menawarkan berbagai pilihan croffle yang menggugah selera, serta minuman segar yang sempurna untuk menemani camilan Anda. Temukan kombinasi unik dari setiap produk, seperti 9Pcs Croffle yang dipadukan dengan Iced Americano atau Iced Pandan Latte yang menyegarkan."
Depot BERKAH JAYA,Aneka nasi/Chinese/Seafood,"['Soup Asparagus Kepiting', 'Gurami Goreng Sambal Trasi', 'Fuyung Hai Kepiting', 'Nasi Goreng Jawa', 'Cumi Saus Inggris']","Depot BERKAH JAYA adalah destinasi kuliner yang menawarkan aneka hidangan lezat dari kategori nasi, Chinese, dan seafood. Dengan menu unggulan seperti Soup Asparagus Kepiting dan Gurami Goreng Sambal Trasi, kami menyajikan cita rasa yang menggugah selera. Nikmati perpaduan kelezatan yang memanjakan lidah di setiap suapan, dari Nasi Goreng Jawa yang klasik hingga Cumi Saus Inggris yang menggoda."
"Depot Bamara, Purwodadi",Aneka nasi,"['Dadar Jagung', 'Sambal Goreng Hati', 'Gurami Bakar + Sambal Pencit', 'Sambal Goreng Udang', 'Sambal Goreng Hati Ampela']","Depot Bamara di Purwodadi adalah destinasi kuliner yang menyajikan aneka nasi yang menggugah selera, cocok untuk penggemar masakan Indonesia. Nikmati variasi hidangan khas seperti Dadar Jagung, Sambal Goreng Hati, dan Gurami Bakar + Sambal Pencit yang kaya rasa, serta sajian populer lainnya. Setiap hidangan disiapkan dengan bahan berkualitas, menjadikan Depot Bamara pilihan tepat untuk menikmati cita rasa autentik."
"Depot Kartika, Ketajen",Chinese,"['Nasi Goreng Jawa Cumi', 'Bakso Jumbo Iga', 'Bakmie Goreng Krengsengan Udang/Cumi', 'Kwetiau Ayam Jamur Pedas Sedang', 'Mie Cap Cay Goreng/Kuah Seafood']","Depot Kartika di Ketajen menawarkan beragam hidangan lezat yang terinspirasi dari kuliner Indonesia. Dengan fokus pada cita rasa yang autentik dan bahan berkualitas, toko ini menyediakan pilihan makanan seperti Nasi Goreng Jawa, Bakso Jumbo Iga, hingga Kwetiau Ayam Jamur Pedas. Setiap hidangan dirancang untuk memuaskan selera Anda, menjadikannya pilihan ideal untuk penyuka masakan lokal."
"Depot Manganokene, Pasar Buah 36",Chinese/Seafood/Bakmie,"['Ayam Goreng Pedes', 'Ayam Goreng Saus Mentega', 'Gurami Goreng Pedas', 'Bihun Goreng Jawa', 'Nasi Putih']","Depot Manganokene di Pasar Buah 36 menyajikan hidangan khas Chinese dan Seafood yang menggugah selera, dengan paduan citarasa yang kaya dan bahan-bahan segar. Anda dapat menikmati berbagai pilihan menu, seperti Ayam Goreng Pedes yang pedas dan menggigit, serta Gurami Goreng Pedas yang renyah. Bagi penggemar mi, Bihun Goreng Jawa menjadi pilihan sempurna untuk melengkapi santapan Anda."
"Depot Slamet, Dharmawangsa",Aneka nasi,"['Blue Punch', 'Nasi Goreng Kepiting', 'Sapo Tahu', 'Es Milo', 'Es Batu - Air Es']","Depot Slamet yang terletak di Dharmawangsa menawarkan aneka nasi yang menggugah selera, cocok untuk semua kalangan pecinta kuliner. Nikmati variasi hidangan lezat seperti Nasi Goreng Kepiting dan Sapo Tahu, serta segarnya minuman seperti Blue Punch dan Es Milo yang menjadi pelengkap sempurna untuk setiap sajian. Dengan suasana yang nyaman, Depot Slamet adalah pilihan ideal untuk menikmati hidangan berkualitas dengan harga terjangkau."
"Depot Slamet, Kedungdoro",Aneka nasi/Bakmie/Chinese,"['Soon Goreng Ayam', 'Capcay Kuah', 'Cha Sawi Putih', 'Nasi Putih', 'Ayam Telor Asin']","Depot Slamet di Kedungdoro adalah pilihan yang tepat untuk pecinta masakan Nusantara dan Chinese. Dengan berbagai pilihan seperti nasi, bakmie, dan aneka hidangan lezat, Anda dapat menikmati sajian seperti Soon Goreng Ayam dan Capcay Kuah yang menggugah selera. Kami berkomitmen untuk menyajikan makanan berkualitas dengan cita rasa yang autentik dan memuaskan."
"Depot Wijaya, Demak",Sate,"['Sate Daging Sapi', 'Paket Wareg 6', 'Lontong', 'Paket Wareg 4', 'Paket Wareg 2']","Depot Wijaya, yang terletak di Demak, adalah tempat yang tepat bagi pecinta sate dan masakan khas Nusantara lainnya. Dengan berbagai pilihan menu, seperti Sate Daging Sapi yang menggugah selera, serta Paket Wareg yang praktis untuk dinikmati bersama keluarga, Depot Wijaya siap memanjakan lidah Anda. Nikmati juga sajian lontong yang selalu menjadi favorit di sini, menjadikan setiap kunjungan Anda semakin lengkap."
Doe Sun Bakery,Aneka nasi/Jajanan/Roti,"['Whip Cream Vanilla Coklat', 'Chicken Cheese', 'Roti Tawar Istimewa', 'Putri Salju 315gr', 'Nastar 315gr']","Doe Sun Bakery adalah toko yang menawarkan berbagai pilihan aneka nasi, jajanan, dan roti yang lezat. Dengan menu yang bervariasi seperti Whip Cream Vanilla Coklat dan Chicken Cheese, setiap kunjungan akan memberi pengalaman kuliner yang memuaskan. Jangan lewatkan juga kue-kue khas seperti Putri Salju dan Nastar yang siap menyempurnakan setiap momen spesial Anda."
"Donuthing GKB, Manyar",Roti/Sweets/Jajanan,"['Salted Caramel Crispy Donuth', 'Ice Avocado', 'Icing Sugar Crispy Donuth', 'Strawberry Korean Milk', 'Cheese Crispy Donuth']","Donuthing GKB di Manyar adalah surga bagi penggemar roti dan jajanan manis, menawarkan berbagai pilihan yang menggugah selera. Dengan inovasi dalam setiap gigitan, Anda bisa menikmati kreasi unik seperti Salted Caramel Crispy Donuth dan Cheese Crispy Donuth, serta minuman segar seperti Ice Avocado dan Strawberry Korean Milk. Temukan pengalaman rasa yang tak terlupakan di setiap produk yang kami sajikan."
"Dopota, Pucang",Sweets/Cepat saji/Roti,"['Isi 6', 'Hayco Choco Cream', 'Isi 10', 'Reguler', 'Mini']","Dopota di Pucang adalah tempat yang tepat untuk para pencinta makanan manis dan cepat saji. Menawarkan berbagai pilihan roti yang menggugah selera, kami menyajikan produk-produk seperti Hayco Choco Cream dan beragam kemasan isi yang cocok untuk semua kesempatan. Dengan kualitas yang terjaga dan cita rasa yang lezat, Dopota siap memanjakan lidah Anda dengan setiap gigitan."
Dprapatan,Aneka nasi/Kopi/Jajanan,"['Nasi Goreng Dprapatan', 'Teh Manis', 'Nasi Dory Crispy', 'Mie Goreng Dprapatan', 'Americano']","Dprapatan adalah toko yang menyajikan aneka pilihan nasi, kopi, dan jajanan dengan cita rasa yang menggugah selera. Nikmati hidangan khas seperti Nasi Goreng Dprapatan dan Mie Goreng Dprapatan, serta segarkan harimu dengan pilihan minuman seperti Teh Manis dan Americano. Setiap sajian di Dprapatan dibuat dengan bahan berkualitas, memberikan pengalaman kuliner yang memuaskan."
Eat Toast Surabaya,Cepat saji/Jajanan/Roti,"['Extra Beef', 'Omlette / Telur Mata Sapi', 'Keju Slice', 'Tiamo + Kopi Susu Ketenangan', 'Choco Cheese']","Eat Toast Surabaya adalah destinasi tepat bagi penggemar cepat saji dan jajanan roti yang nikmat. Dengan berbagai pilihan menu lezat seperti Extra Beef dan Choco Cheese, Anda dapat menikmati hidangan yang memuaskan dan praktis. Selain itu, nikmati momen santai Anda dengan Tiamo + Kopi Susu Ketenangan, yang siap menemani setiap gigitan."
"Es Teh Indonesia ,Sukolilo",Minuman/Sweets/Cepat saji,"['Es Teh Nusantara LARGE', 'Cheese Cream Topping', 'Es Teh Red Velvet LARGE', 'Milo LARGE', 'Sea Salt Cream']","Es Teh Indonesia, Sukolilo, menyajikan beragam minuman segar dan manis yang cocok untuk dinikmati kapan saja. Dari Es Teh Nusantara yang menyegarkan hingga pilihan topping seperti Cheese Cream, setiap produk dirancang untuk memberikan pengalaman rasa yang istimewa. Dengan variasi seperti Es Teh Red Velvet dan Milo, ada sesuatu untuk semua selera dalam kategori minuman dan sweets yang cepat saji."
"Esteh Indonesia, Gwalk",Minuman/Sweets,"['Brown Sugar LARGE', 'Esteh Lemon Medium', 'Thai Tea Medium', 'Sea Salt Cream', 'Esteh Melati Medium']","Esteh Indonesia, Gwalk merupakan destinasi utama bagi pecinta minuman segar dan manis. Menawarkan berbagai pilihan, mulai dari teh tradisional hingga kreasi baru yang menggugah selera, seperti Brown Sugar LARGE dan Esteh Lemon Medium. Dengan kombinasi rasa yang unik dan bahan berkualitas, setiap tegukan akan memuaskan dahaga Anda."
"Esteh Indonesia, Sidoarjo",Sweets/Jajanan/Minuman,"['Es Teh Red Velvet LARGE', 'Esteh Lemonade Berry', 'Chizu Red Velvet', 'Chizu Taro', 'Es Teh Leci LARGE']","Esteh Indonesia di Sidoarjo adalah tempat yang sempurna untuk menikmati berbagai minuman manis dan menyegarkan. Dengan menu yang beragam, Anda dapat menjajal berbagai kreasi unik seperti Es Teh Red Velvet dan Esteh Lemonade Berry, serta jajanan ringan yang menggugah selera. Setiap produk diracik dengan bahan berkualitas untuk memberikan pengalaman rasa yang tak terlupakan."
"Fat Daddy, Sedati",Aneka nasi/Barat/Cepat saji,"['Kentang Goreng', 'Paket Kenyang 5', 'Ades 600ml', 'Keluarga 7', 'Keluarga 1']","Fat Daddy di Sedati menawarkan aneka nasi dan makanan Barat dengan konsep cepat saji yang memuaskan. Dengan berbagai pilihan menu, Anda dapat menikmati hidangan lezat seperti Paket Kenyang 5 untuk keluarga atau kentang goreng yang selalu menggoda. Fat Daddy adalah pilihan tepat untuk penyuka makanan praktis tanpa mengorbankan rasa."
Father Kafe,Kopi/Minuman/Cepat saji,"['Americano Ice/Hot', 'KENTANG GORENG', 'Iced Mocha', 'Iced Matcha Latte', 'Cappucino']","Father Kafe adalah tempat yang sempurna untuk menikmati berbagai pilihan kopi dan minuman segar, serta sajian cepat saji yang memuaskan. Dengan menu unik yang mencakup minuman seperti Iced Mocha dan Cappucino, serta camilan favorit seperti Kentang Goreng, kami hadir untuk memanjakan setiap momen Anda. Nikmati suasana yang nyaman sambil menyantap hidangan berkualitas."
Fire Wok Kitchen,Chinese/Cepat saji/Jepang,"['Pangsit Mie Ayam Jamur Porsi Jumbo', 'Nasi Goreng Sosis', 'Kwetiauw Goreng Udang', 'Kwetiauw Goreng Sapi', 'Beef Teriyaki Skewers']","Fire Wok Kitchen adalah tempat sempurna bagi pecinta kuliner Asia yang menghadirkan cita rasa autentik dalam sajian cepat saji. Menawarkan beragam hidangan lezat, seperti Pangsit Mie Ayam Jamur Porsi Jumbo dan Kwetiauw Goreng, setiap menu diracik dengan bahan berkualitas untuk memuaskan selera Anda. Nikmati pengalaman bersantap yang cepat dan menyenangkan dengan nuansa khas Chinese dan Jepang."
Flossy Croffle,Korea/Roti/Jajanan,"['Topping Tiramisu', 'Soju Halal Kiwi', '2 Soju Halal Korea + 2 Sloki', 'Soju Halal Watermelon', 'Croffle Box M']","Flossy Croffle adalah destinasi makanan yang menyuguhkan cita rasa Korea dengan sentuhan modern. Kami menawarkan jajanan unik seperti croffle yang lezat, dipadukan dengan beragam topping menarik seperti Tiramisu, serta pilihan minuman Soju Halal yang menyegarkan. Temukan kombinasi sempurna untuk menemani waktu santai Anda di sini!"
"Fresh Boba, Tandes",Aneka nasi/Kopi/Minuman,"['Dirty Manggo', 'Green Tea', 'Original Boba Brown Sugar', 'Coklat', 'Caramel Boba Brown Sugar']","Fresh Boba adalah toko yang mengkhususkan diri dalam aneka nasi, kopi, dan minuman yang menyegarkan. Dengan berbagai pilihan, mulai dari coklat yang menggoda hingga Original Boba Brown Sugar yang populer, setiap produk kami dirancang untuk memuaskan selera Anda. Nikmati pengalaman kuliner unik yang menggabungkan cita rasa lokal dan internasional di Fresh Boba."
Garden Food Festival ,Jajanan/Minuman/Aneka nasi,"['Rice Box Chicken Fire', 'Keripik Rendang Telor', 'Es Gulo Regal (L)', 'Es Matcha Lola (M)', 'Es Choco Cococrunch (L)']","Garden Food Festival dengan bangga menampilkan berbagai jajanan dan minuman yang menggugah selera. Nikmati kelezatan dari menu-menu seperti Rice Box Chicken Fire dan Keripik Rendang Telor, serta segarkan harimu dengan pilihan minuman unik seperti Es Gulo Regal dan Es Matcha Lola. Setiap hidangan diracik dengan cita rasa yang otentik, sempurna untuk memuaskan selera anda."
"Geprek Mms, Gedangan",Ayam & bebek/Minuman/Aneka nasi,"['Nasi Ayam Geprek Paha Utuh Jumbo + Es Teh', 'Floridina', 'Nasi Ayam Krispy Sambelan Caru Poda', 'Es Chocholatos', 'Es Nutrisari Anggur']","Geprek Mms di Gedangan hadir dengan pilihan menu lezat yang menggugah selera, khususnya untuk pencinta ayam dan bebek. Selain hidangan utama seperti Nasi Ayam Geprek dan Nasi Ayam Krispy, kami juga menyediakan aneka minuman segar seperti Floridina dan Es Chocholatos untuk menemani santap Anda. Lengkapi pengalaman makan Anda dengan berbagai pilihan nasi yang menggoda selera."
"Gildak, Tunjungan",Korea,"['Itaewon Crispy Chicken W/ Nyambel Gwangju + Namsan Gonggi Bab', 'Seoul Chicken Skin W/ Nyambel Gwangju', 'Incheon Chicken Wings W/ Nyambel Gwangju', 'Sindang Tteokbokki', 'Itaewon Crispy Chicken Xxl W/ Nyambel Gwangju']","Gildak Tunjungan menghadirkan pengalaman kuliner Korea yang autentik dengan menu andalan yang menggugah selera. Spesialis dalam ayam crispy yang digoreng sempurna, setiap hidangan dipadukan dengan sambal khas Gwangju yang memberikan cita rasa pedas yang menggoda. Menyajikan variasi olahan ayam dan jajanan seperti Tteokbokki, Gildak Tunjungan adalah destinasi yang tepat bagi pecinta masakan Korea."
"Glek, Ketintang 157",Minuman,"['Blackcurrant Tea', 'Oreo Vanila', 'Milo Salted Caramel', 'Mango Tea', 'Milk Tea']","Glek di Ketintang 157 menyajikan beragam minuman segar yang siap memanjakan lidah Anda. Dengan pilihan mulai dari Blackcurrant Tea yang menyegarkan hingga Milo Salted Caramel yang manis, setiap produk kami diracik dengan bahan berkualitas tinggi. Temukan kombinasi rasa unik yang sempurna untuk setiap kesempatan, baik untuk bersantai maupun berkumpul dengan teman."
"Go Kage, Mulyosari",Aneka nasi/Cepat saji/Jepang,"['Teh Pucuk', 'Yaki Japan', 'Kage Mayo', 'Yaki Mayo', 'Skin Japan']","Go Kage di Mulyosari menawarkan hidangan cepat saji yang menggugah selera dengan sentuhan Jepang. Dengan aneka nasi yang lezat dan kreativitas unik dalam setiap produk, pelanggan dapat menikmati berbagai pilihan, mulai dari Yaki Japan hingga Kage Mayo. Segera kunjungi dan rasakan kelezatan yang siap memanjakan lidah Anda!"
Goorengan Indonesia,Jajanan,"['Hihang Hoheng', 'Ahuu Etiss', 'Tahu Isi', 'Ote Ote']","Goorengan Indonesia adalah toko jajanan khas yang menyajikan berbagai camilan lezat dan menggugah selera dari tanah air. Dari Hihang Hoheng yang renyah hingga Tahu Isi yang menggoda, setiap produk menghadirkan cita rasa autentik yang pasti memuaskan para pecinta jajanan. Temukan pilihan menarik lainnya seperti Ahuu Etiss dan Ote Ote, sempurna untuk menemani waktu santai Anda."
"Greenly, Darmo Permai",Cepat saji/Barat/Minuman,"['Soy Pudding', 'Truffle Trouble (Mini)', 'Original Almond Milk 375ml', 'Japanese Sesame Beef', 'Chipotle Chicken (Mini)']","Greenly di Darmo Permai menyajikan berbagai pilihan cepat saji yang lezat dengan sentuhan barat, serta minuman segar yang memanjakan lidah. Nikmati berbagai hidangan praktis seperti Japanese Sesame Beef dan Chipotle Chicken (Mini), dan jangan lewatkan minuman sehat seperti Original Almond Milk. Dengan kombinasi rasa yang unik dan kualitas terbaik, setiap hidangan di sini dirancang untuk memberikan kepuasan dalam setiap suapan maupun tegukan."
Gultik Merdeka,Bakso & soto,"['Sate Cecek', 'Sate Usus', 'Nasi Gultik', 'Es Jeruk Manies', 'Es Susu Soklat / Poetih']","Gultik Merdeka adalah toko kuliner yang menyajikan hidangan khas Indonesia dengan fokus pada bakso dan soto, yang kaya akan cita rasa dan aroma menggugah selera. Selain itu, kami juga menawarkan variasi olahan unik seperti Sate Cecek dan Sate Usus, serta hidangan pendamping seperti Nasi Gultik yang lezat. Jangan lewatkan juga segarnya Es Jeruk Manies dan Es Susu Soklat / Poetih untuk melengkapi pengalaman bersantap Anda."
Gurami Bakar Surabaya,Seafood/Cepat saji/Aneka nasi,"['Extra Sambal Pedas', 'Gurami Bakar Kecil + Terong Bakar Sambal', 'Gurami Bakar Jumbo', 'Paket 2 Ekor Gurami Bakar Jumbo', 'Ikan Asin Sambal Goreng Klotok']","Gurami Bakar Surabaya adalah tempat tepat bagi pecinta seafood yang menginginkan hidangan cepat saji berkualitas. Dengan berbagai pilihan, dari Gurami Bakar Jumbo hingga Ikan Asin Sambal Goreng Klotok, kami hadir untuk memuaskan selera Anda. Nikmati aneka nasi yang lezat yang siap menemani setiap hidangan, termasuk Extra Sambal Pedas yang menggugah selera."
"Guri Ramen, Mulyosari",Jepang,"['Curry Gyoza Ramen', 'Mentaiko Karagedon', 'Saitama Gyu Ramen', 'Ocha (Cold)', 'Tsukune Spicy Mentai']","Guri Ramen, yang berlokasi di Mulyosari, menyajikan hidangan otentik Jepang dengan sentuhan modern. Kami menawarkan berbagai pilihan ramen dan hidangan tambahan yang menggugah selera, seperti Curry Gyoza Ramen dan Mentaiko Karagedon, sempurna untuk mengisi perut Anda. Nikmati pengalaman kuliner Jepang yang unik dan memuaskan di setiap gigitan."
HALAL BOSS,Minuman/Aneka nasi/Timur Tengah,"['Teh', 'Personal Mandhi Kambing', 'Personal Nasi Biryani', 'Teh Tarik', 'Rame-Rame Mandhi Iga Sapi']","HALAL BOSS adalah sebuah toko yang menyajikan aneka minuman dan hidangan khas Timur Tengah yang halal dan lezat. Dari teh yang menyegarkan hingga nasi mandhi yang kaya rasa, setiap produk kami diracik dengan bahan-bahan berkualitas untuk memuaskan selera Anda. Temukan pengalaman kuliner unik yang menggabungkan cita rasa autentik dengan pelayanan terbaik di HALAL BOSS."
"Hai Steak House, kingsquare Driyorejo",Cepat saji/Barat,"['Paket Nataru. 1 chicken steak Gratis 1 minuman favorit', 'Paket Puas. 1 double chicken steak + 1 es teh manis', 'ice Leci yakult', 'Double Chicken Steak', 'Wagyu Beef Steak']","Hai Steak House di Kingsquare Driyorejo menyajikan pengalaman kuliner yang cepat dan memuaskan dengan berbagai pilihan steak berkualitas tinggi. Kami menawarkan berbagai paket menarik dan menu unik seperti Wagyu Beef Steak dan Double Chicken Steak yang pasti memanjakan lidah Anda. Dengan suasana yang nyaman, kami siap menjadi pilihan tepat untuk menyantap hidangan barat yang lezat."
"Haus!, Delta Sari",Minuman,"['Paket Haus Banget (1L)', 'Hebat 2', 'Choco Hazelnut Cheese', 'Roti Bakar Coklat Keju', 'Paket Ice Cream Cup']","Haus! Delta Sari adalah toko minuman yang menawarkan berbagai pilihan minuman segar dan lezat, cocok untuk menemani momen santai Anda. Dengan produk unggulan seperti Paket Haus Banget (1L) dan paket menarik lainnya, toko ini menjanjikan kombinasi nikmat antara rasa dan kualitas. Selain minuman, jangan lewatkan juga berbagai camilan seperti Roti Bakar Coklat Keju yang pasti akan memanjakan lidah Anda."
"Haus!, Manukan",Minuman/Jajanan/Kopi,"['Roti Maryam Coklat Keju', 'Hot Coffee', 'Grape Yakult', 'Red Velvet', 'Ovaltine Cheese']","Haus! Manukan merupakan tempat yang sempurna untuk menikmati berbagai minuman segar dan jajanan nikmat. Dengan variasi produk yang menggoda, seperti Hot Coffee yang hangat dan Roti Maryam Coklat Keju yang renyah, setiap kunjungan menjadi pengalaman yang memuaskan. Tak hanya itu, Anda juga dapat mencoba Grape Yakult yang menyegarkan dan Red Velvet yang manis untuk melengkapi waktu santai Anda."
"Haus!, Siwalankerto",Minuman/Jajanan/Kopi,"['Hebat 3', 'Roti Bakar Blueberry', 'Roti Kukus Blueberry', 'Roti Kukus Chocomaltine', 'Roti Maryam Strawberry']","Haus! Siwalankerto adalah tempat ideal bagi pecinta minuman dan jajanan yang ingin menikmati berbagai sajian lezat. Dengan pilihan seperti Roti Bakar Blueberry dan Roti Kukus Chocomaltine, setiap gigitan akan memanjakan lidah Anda. Nikmati juga minuman segar yang akan melengkapi pengalaman bersantai Anda di sini."
"Hayaku Sidoarjo, Citra Harmoni",Jajanan/Jepang,"['Bihun', 'Ceker', 'Snack Set 4', 'Fish Ball', 'French Fries']","Hayaku Sidoarjo, Citra Harmoni, adalah toko yang menyajikan berbagai jajanan khas Jepang yang menggugah selera. Dengan beragam pilihan seperti bihun, ceker, dan fish ball, pelanggan dapat menikmati cita rasa otentik Jepang dalam setiap gigitan. Nikmati juga berbagai snack menarik seperti Snack Set 4 dan French Fries yang cocok untuk menemani kebersamaan Anda."
"HokBen, Suncity Sidoarjo",Jepang,"['2 pcs Ayam Goreng + Nasi + Ice Lemon Tea', 'Iced Avocado coffee 500 ml', 'Ocha', 'Egg Chicken Roll Wrap 2 Pcs', 'Shrimp Dumpling (3 pcs)']","HokBen di Suncity Sidoarjo menawarkan pengalaman kuliner otentik Jepang dengan beragam pilihan menu lezat. Dari hidangan nasi yang menyegarkan hingga minuman tradisional seperti Ocha, setiap produk dirancang untuk memuaskan selera pengunjung. Nikmati juga variasi makanan seperti Ayam Goreng, Egg Chicken Roll Wrap, hingga Shrimp Dumpling yang menggugah selera."
Holland Bakery Indrapura,Roti,"['Brownies Almond', 'Lapis Legit Prunes 1/3', 'Roti Tawar Kulit', 'Nastar Jambu Box', 'Tiger Roll']","Holland Bakery Indrapura adalah toko roti yang menawarkan beragam pilihan roti dan kue lezat untuk memenuhi selera Anda. Dari Roti Tawar Kulit yang lembut hingga Brownies Almond yang kaya rasa, setiap produk di sini diproduksi dengan bahan berkualitas tinggi. Nikmati juga kue khas seperti Lapis Legit Prunes dan Nastar Jambu Box yang siap memanjakan lidah Anda."
"Holland Bakery, Thamrin",Roti,"['Bolu Gulung Pandan', 'Coklat Hati Toples Segi 4', 'Kue Ku Ketan', 'Chocolate Muffin', 'Arem Arem']","Holland Bakery di Thamrin adalah toko roti yang menawarkan berbagai macam kue dan roti lezat untuk memanjakan lidah Anda. Dari Bolu Gulung Pandan yang lembut hingga Chocolate Muffin yang menggugah selera, setiap produk diolah dengan bahan berkualitas untuk menghadirkan cita rasa terbaik. Temukan juga pilihan unik seperti Kue Ku Ketan dan Coklat Hati Toples Segi 4 yang cocok untuk teman santai atau perayaan spesial Anda."
